""	"RCC3-1_None_Tumor"	"RCC3-10_None_Stroma"	"RCC3-11_None_Tumor"	"RCC3-12_None_Stroma"	"RCC3-13_None_Tumor"	"RCC3-14_None_Stroma"	"RCC3-15_None_Tumor"	"RCC3-16_None_Stroma"	"RCC3-17_None_Tumor"	"RCC3-18_None_Stroma"	"RCC3-19_None_Tumor"	"RCC3-2_None_Stroma"	"RCC3-20_None_Stroma"	"RCC3-21_None_Tumor"	"RCC3-22_None_Stroma"	"RCC3-3_None_Tumor"	"RCC3-4_None_Stroma"	"RCC3-5_None_Tumor"	"RCC3-6_None_Stroma"	"RCC3-7_None_Tumor"	"RCC3-8_None_Stroma"	"RCC3-9_None_Tumor"	"RCC4-1_Ipi + Nivo_Tumor"	"RCC4-10_None_Stroma"	"RCC4-11_None_Tumor"	"RCC4-12_None_Tumor"	"RCC4-13_None_Tumor"	"RCC4-14_None_Tumor"	"RCC4-15_None_Tumor"	"RCC4-16_None_Stroma"	"RCC4-17_Pembrolizumab and Axitnib_Stroma"	"RCC4-18_Pembrolizumab and Axitnib_Stroma"	"RCC4-19_Pembrolizumab and Axitnib_Tumor"	"RCC4-2_Ipi + Nivo_Stroma"	"RCC4-20_Pembrolizumab and Axitnib_Stroma"	"RCC4-21_Pembrolizumab and Axitnib_Tumor"	"RCC4-22_Pembrolizumab and Axitnib_Tumor"	"RCC4-3_Ipi + Nivo_Tumor"	"RCC4-4_Ipi + Nivo_Stroma"	"RCC4-5_Pembrolizumab and Axitnib_Tumor"	"RCC4-6_Pembrolizumab and Axitnib_Stroma"	"RCC4-7_Pembrolizumab and Axitnib_Tumor"	"RCC4-8_Pembrolizumab and Axitnib_Stroma"	"RCC4-9_None_Tumor"	"RCC5-1_Pembrolizumab and Axitnib_Tumor"	"RCC5-10_None_Stroma"	"RCC5-11_None_Tumor"	"RCC5-12_None_Stroma"	"RCC5-14_None_Stroma"	"RCC5-15_None_Tumor"	"RCC5-16_None_Stroma"	"RCC5-18_None_Stroma"	"RCC5-19_Pembrolizumab and Axitnib_Tumor"	"RCC5-2_Pembrolizumab and Axitnib_Stroma"	"RCC5-20_Pembrolizumab and Axitnib_Stroma"	"RCC5-21_None_Tumor"	"RCC5-22_None_Stroma"	"RCC5-23_None_Tumor"	"RCC5-4_None_Stroma"	"RCC5-5_None_Tumor"	"RCC5-6_None_Stroma"	"RCC5-7_None_Tumor"	"RCC5-8_None_Stroma"	"RCC5-9_None_Tumor"
"ABL1"	1.43585493207812	0	1.2914501297268	1.76185486209445	1.20803380683556	1.27535703507898	1.42018806801837	1.34623463226762	1.07606474152173	0	0.984069933672217	1.35470798352823	1.60053766296384	1.71118012789387	1.30955641882762	1.62826047040432	0	1.7099718043422	2.44175376666954	1.35962956564181	1.36564445790674	1.60495020336874	1.45453699113757	0	1.14833081946447	1.61283114465575	1.34465938846831	1.43891254826661	0.512350258951393	0	2.11938402866758	1.34319296817675	0	0	1.90277992121162	1.32006705626009	1.45991942327473	1.48199734937261	0	1.62002812819669	1.7067965736649	1.21272338942941	1.80711537965435	1.20526702466886	1.00819294325227	0.82995473359628	1.85063803476174	1.39902823707615	0	1.75982649490969	1.17644423641396	0	1.36940869431979	0	1.7734142553743	1.53493556005937	0	1.58933127121013	0	1.37540118455322	2.67705966570753	1.35739538270596	0	1.54397113398536
"ABL2"	1.58465383481629	0	1.68579951129421	1.91513784442023	1.69249674479913	2.16790310503083	1.60597540891435	1.89999431485756	1.36089228563084	2.25622786427144	1.39018191957434	1.35470798352823	1.29119512952856	1.85409159328644	1.85771264174224	1.36736709645777	0	1.60395017831277	0	1.86391604189647	1.55857238987739	1.45098691406245	1.51645423164397	0	1.34359482137369	2.05386620085869	1.5893799333895	1.64768202228643	0.849475199737586	0	0	2.5116320170921	2.01122853245675	1.83486144841433	2.51842307311847	1.17980230855183	1.45991942327473	1.37063656555521	2.00314235264793	1.87439876093952	2.30483819195695	1.5854450684493	2.60537035307199	1.73612349378159	1.85869153106438	1.8876651343313	1.45571279176512	1.96044998516931	1.03456944247465	0.554011453115363	1.55562318453722	0	1.60132164928432	1.59738766355958	1.7734142553743	1.82842587039399	0	1.99080874942102	0	1.75561046564543	2.534304649529	1.45181666435667	0	1.98256664081775
"ACE"	1.35223437909618	1.73071383450644	1.70596246027722	0.675311940952479	1.03863747024317	1.81807007627788	1.22781670567248	1.89999431485756	1.36089228563084	0	0.850261179558901	0	0	1.41540391683279	1.85771264174224	1.01341807962891	0	1.06707535644206	0	1.59258201797323	0.811231259913937	1.30808783633508	1.06979838205201	0	1.25072127181734	1.40854402567892	0.953873443023198	1.43891254826661	1.30205332144073	0	0	0	1.44367748901215	1.42516878758686	1.90277992121162	1.05144300646922	0.796541534796308	0.871969407251728	0	1.17920739978683	1.7067965736649	1.16123355519912	1.20912288272239	1.95697591196254	1.45579318073056	1.49258340495503	1.12374061266691	1.80589826262563	2.74155947156085	0.90843583905404	0.317583409044451	0	1.60132164928432	0	0.682180486764534	0.885728212475426	0	0.960876984392068	0	1.17948425111002	0	1.13669223498497	0	0.551946547231177
"ACE2"	1.65149795000727	1.20066963074402	2.92246542054394	2.31886529555687	2.2207394084257	1.27535703507898	1.03330052646108	0	1.76349469373246	2.25622786427144	1.90152474445967	2.10280065697647	1.83645580532502	2.16883986154054	1.85771264174224	2.71071425203283	0	1.65077075284497	1.83203566949919	1.48287386472924	1.36564445790674	2.09221931785146	3.10621096896228	1.45201562357044	1.40104029094022	1.88129437503038	1.62492027658248	1.47154027325437	0.849475199737586	0	0	0	2.74490316437992	1.42516878758686	2.89665860312485	0.943054487201556	2.25392001234064	0.993571850793634	2.62645129761154	1.21324536024869	1.94805607262559	1.16123355519912	1.31970092118142	1.55608783282692	1.07638335696344	1.95089811949327	0.418108197114424	0.701654422469156	2.61719588725569	1.46579599255113	2.04491077047346	0	0.841507259160249	1.59738766355958	0.682180486764534	1.2621156574862	1.63155982952137	1.2684903097753	0	1.13523433446611	0	1.30661635265171	0	1.49011536301151
"ACKR1"	1.47518131381087	2.07531086704546	0.687768690320436	2.21914791052832	1.53702408772123	0	0.791581596088133	3.3324836873657	0.676284360790233	0	0.512900868854054	2.40376001005651	2.55467278060138	0.842795444642264	2.0491530953547	1.20597150758787	0	0.951292786669342	0	0.784794295798383	0.60638211879062	1.45098691406245	0.343811326192168	0	1.28264716333928	1.61283114465575	1.5893799333895	1.17473744833675	1.46926699933749	3.16011740643441	0	3.77204473161426	0	1.13324121431038	0	0.943054487201556	1.12744439167758	0.572740795994245	2.36259469819885	0.754194255990569	2.30483819195695	1.16123355519912	2.60537035307199	1.20526702466886	1.07638335696344	0.82995473359628	1.37155674771072	0.701654422469156	0	0.746844223399993	0.317583409044451	0	0.631222475854954	2.81902142480016	4.02138742861415	0.948972799020526	0	1.34142220084664	1.87421768819367	0.935594660167918	1.9174857665439	1.13669223498497	0	0.854623234772269
"ACKR3"	1.39491845066168	0	1.53198008946293	1.35942077984583	1.94557109527292	1.27535703507898	1.11569976707809	2.39336217346739	1.91682595179824	0	1.1020686417578	1.90972887088117	0.840948632708545	1.54438422851235	1.30955641882762	1.43924329833117	2.98285686282472	1.60395017831277	0	1.44345632244164	1.79221100079605	1.2689276450183	1.54603212387726	0.969208748544844	1.62515921582504	1.88129437503038	1.89818324920721	2.26897762493665	2.12361467054343	0	2.11938402866758	1.8964969142605	0.962457640160746	2.34905629333309	0	1.94266006066584	1.82767155588468	1.1997721363627	2.62645129761154	2.40992095826182	1.7067965736649	1.39566706767752	1.98349749339032	1.95697591196254	2.1337034212967	2.17011480507652	1.41451978858985	2.41330955333157	1.03456944247465	1.27836651338611	1.47344279012097	0	2.29714274863754	0	1.08396314014787	1.42698273687329	0	1.01105053710412	0	2.30366299015783	1.9174857665439	1.82372720340297	1.03456944247465	1.93051239552894
"ACKR4"	1.54947795208877	1.73071383450644	1.35012210959115	1.22718559118796	1.38599769534757	0	1.19182321408245	1.6609657208989	1.58231920053466	0	1.47032410977835	0	0	1.39219197112931	0	1.56913740743617	0	1.14588501613169	0	1.26812759100942	0.981167920800102	1.60495020336874	1.42207872739301	0	1.11173047876848	1.28826709050701	1.5893799333895	1.40518424453575	0.849475199737586	3.16011740643441	0	1.34319296817675	0.962457640160746	0.71923064608015	0	1.2935440310651	1.45991942327473	1.83373552982629	0	1.36796096404848	0	1.51379555919979	1.08477942727337	1.45224834992472	1.43298249301252	1.14910203012995	0.7935346284228	0.701654422469156	2.30950828795052	0.554011453115363	1.28554176662857	0	1.06693785934212	0	0	1.63236173171902	0	1.14803205146255	2.48752319056332	1.22185880429845	0	1.40572003210175	1.8627898870231	1.04435861892688
"ACTA2"	1.58465383481629	1.20066963074402	1.48330583967281	1.76185486209445	1.64331017092266	2.42656377952057	0.393900917652858	2.96933867708629	1.76349469373246	0	1.47032410977835	2.5259299180844	3.03391788447463	1.41540391683279	1.85771264174224	1.24882737311886	0	1.58784316531691	2.44175376666954	1.21903243655695	1.55857238987739	1.57599573796268	1.6026860444368	0.969208748544844	1.53168827235142	2.09272679019408	1.34465938846831	1.79739505446897	1.61248486183065	3.16011740643441	0	3.16336550923282	1.44367748901215	1.65085101459105	1.90277992121162	1.14922384209522	1.77009805710848	1.54989526657223	2.00314235264793	1.17920739978683	3.02280605770631	1.61943235365141	2.88175525464223	1.45224834992472	2.05016349975066	1.39066019417414	1.27966224026932	2.65479932976905	0	2.12849339219457	1.70213485033315	0	2.1024143531914	3.79191457309599	2.6874807729932	1.46427697678695	0	0.960876984392068	0	1.4441506325654	0	1.61750166865585	2.11088905982652	1.08665680588544
"ACTG2"	1.16055006926564	2.33111070911831	1.35012210959115	1.07476057389112	0.941801879447127	0	1.11569976707809	2.09276742391351	1.58231920053466	0	0.984069933672217	0	1.60053766296384	0.882668047893198	1.30955641882762	0.958871796084353	0	0.887952626981013	2.44175376666954	1.21903243655695	0.60638211879062	1.22817121168771	1.11565378953854	1.45201562357044	1.07373949395732	1.6725994720902	0.806982323208744	0.931431077011262	1.46926699933749	0	0	1.34319296817675	0	0	0	1.37109163454681	0.942276746218885	0.993571850793634	2.00314235264793	1.64206428510739	1.38817229594409	0.699405402257141	1.20912288272239	1.05435389482548	0.724513528928996	0.82995473359628	0.71205237207252	0.701654422469156	0	0.746844223399993	0.558247798665998	0	0.631222475854954	0	0.682180486764534	0.948972799020526	0	0.66345723320278	0	0.818519835438886	2.67705966570753	0.175971348712806	1.53207918657253	0.800977266230264
"ACVR1"	1.10628181067144	1.20066963074402	1.92069669837507	1.67539526449439	1.41808288663333	1.81807007627788	1.2625595506429	1.34623463226762	1.36089228563084	0	1.1020686417578	1.35470798352823	0.840948632708545	1.54438422851235	2.0491530953547	1.20597150758787	0	1.39108380458891	1.83203566949919	0.859608386109515	1.55857238987739	1.14130882141849	1.90870886849671	2.64524273621383	1.18363873910048	1.58155171601472	1.29734687510339	0.985058916628006	1.46926699933749	3.16011740643441	0	0	1.76718820849755	1.13324121431038	2.51842307311847	1.55256178033383	1.18225923929877	1.58219020064957	0	1.57444325432809	0	1.16123355519912	1.20912288272239	1.45224834992472	1.2568300042732	1.74777067491886	1.23034112099644	1.39902823707615	0	0.746844223399993	0.317583409044451	0	1.57130640042747	1.59738766355958	0	1.63236173171902	2.59043162560572	1.4730395067529	0	1.33916875004648	1.9174857665439	1.35739538270596	0	1.46205925462737
