""	"RCC3-1_None_Tumor"	"RCC3-10_None_Stroma"	"RCC3-11_None_Tumor"	"RCC3-12_None_Stroma"	"RCC3-13_None_Tumor"	"RCC3-14_None_Stroma"	"RCC3-15_None_Tumor"	"RCC3-16_None_Stroma"	"RCC3-17_None_Tumor"	"RCC3-18_None_Stroma"	"RCC3-19_None_Tumor"	"RCC3-2_None_Stroma"	"RCC3-20_None_Stroma"	"RCC3-21_None_Tumor"	"RCC3-22_None_Stroma"	"RCC3-3_None_Tumor"	"RCC3-4_None_Stroma"	"RCC3-5_None_Tumor"	"RCC3-6_None_Stroma"	"RCC3-7_None_Tumor"	"RCC3-8_None_Stroma"	"RCC3-9_None_Tumor"	"RCC4-1_Ipi + Nivo_Tumor"	"RCC4-10_None_Stroma"	"RCC4-11_None_Tumor"	"RCC4-12_None_Tumor"	"RCC4-13_None_Tumor"	"RCC4-14_None_Tumor"	"RCC4-15_None_Tumor"	"RCC4-16_None_Stroma"	"RCC4-17_Pembrolizumab and Axitnib_Stroma"	"RCC4-18_Pembrolizumab and Axitnib_Stroma"	"RCC4-19_Pembrolizumab and Axitnib_Tumor"	"RCC4-2_Ipi + Nivo_Stroma"	"RCC4-20_Pembrolizumab and Axitnib_Stroma"	"RCC4-21_Pembrolizumab and Axitnib_Tumor"	"RCC4-22_Pembrolizumab and Axitnib_Tumor"	"RCC4-3_Ipi + Nivo_Tumor"	"RCC4-4_Ipi + Nivo_Stroma"	"RCC4-5_Pembrolizumab and Axitnib_Tumor"	"RCC4-6_Pembrolizumab and Axitnib_Stroma"	"RCC4-7_Pembrolizumab and Axitnib_Tumor"	"RCC4-8_Pembrolizumab and Axitnib_Stroma"	"RCC4-9_None_Tumor"	"RCC5-1_Pembrolizumab and Axitnib_Tumor"	"RCC5-10_None_Stroma"	"RCC5-11_None_Tumor"	"RCC5-12_None_Stroma"	"RCC5-14_None_Stroma"	"RCC5-15_None_Tumor"	"RCC5-16_None_Stroma"	"RCC5-19_Pembrolizumab and Axitnib_Tumor"	"RCC5-2_Pembrolizumab and Axitnib_Stroma"	"RCC5-20_Pembrolizumab and Axitnib_Stroma"	"RCC5-21_None_Tumor"	"RCC5-23_None_Tumor"	"RCC5-4_None_Stroma"	"RCC5-5_None_Tumor"	"RCC5-6_None_Stroma"	"RCC5-7_None_Tumor"	"RCC5-8_None_Stroma"	"RCC5-9_None_Tumor"
"FASN"	1.94883010990704	0	0	0	0	0	0	2.56642755433085	0	0	0	0	0	1.66165694123613	2.33447218499518	0	0	2.20616318433703	0	2.55595062817341	0	0	0	0	3.97186300578416	0	0	0	0	2.89881703274323	0	0	0	0	0	1.2565256720442	1.73955974323463	0	1.34929213876356	1.99862553558427	0.666043950614367	2.19509408385393	0	0	2.17964170677835	0	0	2.03283462619696	0	0	0	0	0	0	0	1.08221847889243	0	0	0	0	0	1.51537695203021
"FCER1G"	3.76452683593477	0	0	4.03159206307348	4.49418918518983	3.15580439182443	3.65603055463394	4.44423371415071	0	2.32985368712411	0	2.89074961544836	2.79058333601975	3.77689775747284	3.36633081181749	3.05073408299178	3.26654844895125	3.22852608070036	3.20213266357272	3.2095154566136	3.97613096309319	0	3.57464862789612	0	0	0	3.85756559603202	3.43883844297743	0	0	3.39234606353145	4.36683042537213	4.46828341668349	4.51116386493167	3.97076858137275	3.98484734792079	4.12766430670479	0	3.56264570305562	3.67054852666587	3.61004775762496	4.3920816592634	3.54395422465098	0	4.37489341047837	3.89929421120474	4.03850339964657	3.85967442736141	0	0	0	4.23226863076191	3.32602950046502	3.90849259087303	2.74513031640784	3.55952052929521	4.2378586689599	3.75423212455935	3.93182563272433	3.24000528612984	1.92394980709506	4.05730329054175
"FCGBP"	0	2.30673559971927	3.48878178667972	0	2.02223974671501	0	0	0	0	0	0	0	0	0	0	0	0	2.57423016653601	0	1.93755687852634	0	0	0	0	0	0	0	0	0	0	2.35882780460746	3.10083108594646	0	0	0	0	0	0	0	0	2.03151766095751	0	1.60006420913208	0	0	0	2.49718693891809	0	0	0	0	0	0	0	0	2.17530589162857	0	0	0	2.38079930126505	0	0
"FCGR3A"	3.76452683593477	4.295007038022	3.48878178667972	3.45790241042802	4.90810166628546	0	4.80126027070631	3.61247594983294	0	2.32985368712411	4.51930242658306	3.55573671287402	4.04419516686722	4.10680747841956	3.36633081181749	4.46079292899201	3.94044255541037	3.62069794169786	0	3.60143045099591	4.37532374965467	0	2.90914119708542	3.4049264704207	0	0	3.57689864332982	3.43883844297743	0	3.28574866909512	3.88962851641128	4.67359523953127	4.06853542616818	4.38999343027296	4.1615909985583	4.39964816743215	4.77382284778922	5.27068090896584	4.11003113987686	3.99189755751615	2.78156980467678	4.61274715433546	4.27889014904535	4.58266067257266	3.69425712534805	3.89929421120474	4.56184832097307	4.30396644955427	0	0	0	4.73726955828565	4.31449683437095	3.59753720169434	4.48187032183202	5.30814694632939	4.92376042656012	3.25889816697435	0	4.64479656909198	4.41728934532221	4.05730329054175
"FCRLA"	0	0	0	1.96712095815354	1.45339535345086	0	0	0	0	0	0	0	0	2.25508091337169	0	0	1.98858234946178	0	0	0	1.67881431977764	3.79500055002248	0	0	0	0	0	0	0	2.89881703274323	2.35882780460746	0	0	0	2.13205549835436	0	0	4.18229635709524	1.90350832836144	0	1.34535897477901	2.56273683120711	1.09080698379488	0	0	0	1.88314316394171	2.03283462619696	0	0	0	0	0	0	2.74513031640784	0.680877087968131	0	2.23433661255518	0	0	2.54127961337563	0
"FES"	2.94766580891986	0	3.48878178667972	1.96712095815354	1.45339535345086	0	0	0	0	0	0	0	1.80777059747919	2.89437095865443	2.33447218499518	0	0	1.61748624561693	3.20213266357272	2.93520234422378	0	0	1.9140282541557	0	3.29737888635614	0	0	3.0492968559597	0	0	0	0	0	1.00477839626975	3.1483050249213	0	2.34081217434162	0	3.04370647749701	1.65872409078554	2.25325763353716	2.83095738596262	1.93586352124371	0	0	0	2.49718693891809	2.65825754389449	0	0	0	0	3.05025475493917	2.29021416953387	0	1.92478260262944	0	0	0	2.38079930126505	0	1.51537695203021
"FFAR2"	0	0	0	1.96712095815354	0	3.15580439182443	2.14493407592794	3.22041310418709	3.1622815318928	2.32985368712411	0	2.89074961544836	1.80777059747919	0	2.33447218499518	0	2.6108298331905	2.20616318433703	0	0	1.67881431977764	0	0	0	3.97186300578416	0	0	3.0492968559597	4.32213652463613	0	0	0	0	1.00477839626975	1.55098020908326	1.2565256720442	0	0	0	0	1.34535897477901	0	0	0	2.17964170677835	2.57199359828721	1.88314316394171	0	0	0	0	2.51059203726549	0	1.6935081435172	2.74513031640784	0	0	2.87246613470874	0	0	0	0
"FFAR3"	0	0	0	1.96712095815354	1.45339535345086	0	2.14493407592794	0	0	3.36139270087774	0	0	1.80777059747919	0	0	1.79719676565528	2.6108298331905	0	0	1.93755687852634	1.67881431977764	0	2.90914119708542	0	0	0	0	0	0	0	0	2.08841810464014	0	1.82356587594211	0	2.14471215529002	2.34081217434162	0	1.90350832836144	1.65872409078554	1.56571298628611	1.60752067267123	2.38723650223465	0	0	2.57199359828721	0	0	0	0	0	0	0	1.6935081435172	0	2.17530589162857	3.55904672250949	2.23433661255518	0	1.77609937832505	0	0
"FFAR4"	0	0	0	1.96712095815354	1.45339535345086	0	0	0	0	2.32985368712411	0	0	1.80777059747919	0	0	2.40382540604214	0	1.61748624561693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49573242484409	1.55098020908326	2.14471215529002	1.73955974323463	0	1.34929213876356	1.65872409078554	0.666043950614367	2.19509408385393	2.82217629803934	0	2.17964170677835	2.57199359828721	1.88314316394171	0	0	0	0	0	3.05025475493917	0	2.11424399841647	2.28038936060226	0	0	0	0	0	0
"FGF1"	1.94883010990704	2.30673559971927	0	0	1.45339535345086	0	3.1622815318928	0	0	0	0	0	0	2.25508091337169	0	2.40382540604214	0	0	0	0	2.27402056526025	0	0	0	3.97186300578416	0	0	3.71846264987169	0	0	0	0	0	1.82356587594211	0	0	0	0	1.34929213876356	0	1.06230891241267	1.60752067267123	1.09080698379488	0	0	0	0	0	0	0	0	0	2.0421170844929	0	0	1.08221847889243	0	0	0	0	1.92394980709506	0
